Sexs,Age,State,ParticipationRate,Lon,Lat,,Age group,Met (%),Did not meet (%),,Sports,Males_ParticipationRate,Females_ParticipationRate,Persons_ParticipationRate,Persons_Estimate,,,Year,Sex,Category,Percent,,,,Year,Males_Number,Females_Number,Persons_Number,Males_Percent,Females_Percent,Persons_Percent
Male,65 years and over,Queensland,41.3,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,South Australia,52.4,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,Western Australia,51.4,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,Tasmania,57.4,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,Northern Territory,32.7,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,Australian Capital Territory,68.4,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,65 years and over,Australia,48.3,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,New South Wales,81.5,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Victoria,68.4,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Queensland,72,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,South Australia,59.7,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Western Australia,61.6,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Tasmania,79,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Northern Territory,75.3,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Australian Capital Territory,71.4,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15-17 years,Australia,74.8,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,New South Wales,66.6,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Victoria,62.5,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Queensland,73.4,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,South Australia,73.7,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Western Australia,70.6,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Tasmania,69,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Northern Territory,76.7,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Australian Capital Territory,91.2,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18-24 years,Australia,67,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,New South Wales,57.2,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Victoria,63.7,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Queensland,57.6,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,South Australia,60.7,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Western Australia,67.3,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Tasmania,74.3,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Northern Territory,65.8,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Australian Capital Territory,78.2,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-34 years,Australia,60.6,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,New South Wales,67.8,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Victoria,71.9,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Queensland,61,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,South Australia,62.5,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Western Australia,61.5,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Tasmania,70,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Northern Territory,64.8,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Australian Capital Territory,64.5,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,35-44 years,Australia,66.1,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,New South Wales,61.3,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Victoria,62.6,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Queensland,54.7,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,South Australia,53.5,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Western Australia,64.2,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Tasmania,74.3,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Northern Territory,56.2,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Australian Capital Territory,64.4,149,-35,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,45-54 years,Australia,60.8,134,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,New South Wales,56.7,147,-32,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Victoria,55.8,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Queensland,48.8,143,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,South Australia,67.3,138,-30,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Western Australia,60.7,122,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Tasmania,62.9,147,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,55-64 years,Northern Territory,55.1,133,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
